endpoint,method,query,body,comment
marketing/v1/install_attributions,POST,,,Unauthorized
marketing/v1/paywall,GET,locale/context/product_offer_slug/platform/supported_brand_types,,
marketing/v1/profile,POST,,,
marketing/v1/value_proposition,POST,locale/first_name/gender/goals/,,
messaging/v1/profile,GET,,,"{""Accept: application/json""}"
messaging/v1/profile,PATCH,,,"{""Accept: application/json""}"
mind/v2/audio/categories/,GET,,,"{""Accept: application/json""}"
mind/v2/audio/episodes/{slug},GET,,,"{""Accept: application/json""}"
mind/v2/audio/items/{item_slug}/episodes/{episode_slug}/progress,PATCH,,,
mind/v3/audio/categories/{slug},GET,include_groups/include_items,,"{""Accept: application/json""}"
mind/v3/audio/items/{slug},GET,include_episodes/include_item_episode_info,,"{""Accept: application/json""}"
payment/v1/claims/{product_type}/{user_id},GET,,,"{""Accept: application/json""}"
payment/v1/claims/google,POST,,,"{""Accept: application/json""}"
payment/v3/claims,GET,supported_brand_types/request_reason/,,"{""Accept: application/json""}"
payment/v3/products,GET,brand_types/platform/country/active,,"{""Accept: application/json""}"
social/v1/activities/{feed_id},DELETE,,,
social/v1/activities/{feed_id},GET,,,
social/v1/activities/{feed_id}/comments,GET,,,
social/v1/activities/{feed_id}/comments,POST,,,
social/v1/activities/{feed_id}/like,DELETE,,,
social/v1/activities/{feed_id}/like,POST,,,
social/v1/activities/{feed_id}/likes,GET,,,
social/v1/feed,GET,,,
social/v1/feed_entries/{feed_entry_id}/activity,GET,,,
social/v1/followers/{follow_request_id}/decline,DELETE,,,
social/v1/followers/{user_id},DELETE,,,
social/v1/followers/{user_id}/accept,PUT,,,
social/v1/status_updates,POST,,,
social/v1/status_updates/{object_id},PUT,,,
social/v1/users/{id}/report,POST,,,
social/v1/users/{user_id}/activities,GET,,,
social/v1/users/{user_id}/follow,DELETE,,,
social/v1/users/{user_id}/follow,PUT,,,
social/v1/users/{user_id}/follows/incoming,GET,page,,
social/v1/users/{user_id}/follows/outgoing,GET,page,,
user/v1/auth/facebook/account,DELETE,,,
user/v1/auth/facebook/account,POST,,,
user/v1/auth/google/account,DELETE,,,
user/v1/auth/google/account,POST,,,
user/v1/auth/logout,DELETE,,,
user/v1/auth/password/confirm/.*,,,,
user/v1/auth/password/resend_confirmation,POST,,,Unauthorized
user/v1/auth/password/reset,POST,,,Unauthorized
user/v1/auth/password/simple_confirm/{token},GET,,,Unauthorized
user/v1/auth/refresh,POST,,,Unauthorized
user/v1/facebook/events,POST,,,
user/v1/profile,DELETE,,,
user/v1/profile,PATCH,,,
user/v1/profile/email_changes,POST,,,
user/v1/profile/update_picture,PATCH,,,
user/v1/referral/profile,GET,,,
user/v1/status/{product},GET,,,
user/v1/status/{product},PATCH,,,
user/v2/facebook/authentication,POST,,,Unauthorized
user/v2/facebook/registration,POST,,,Unauthorized
user/v2/google/authentication,POST,,,Unauthorized
user/v2/google/registration,POST,,,Unauthorized
user/v2/password/authentication,POST,,,Unauthorized/RequestSigning
user/v2/profile,GET,,,
user/v2/referral/profile,GET,,,
user/v2/spotify/playlists,GET,access_token/personal,,
user/v2/spotify/recommendations,POST,,,
user/v2/spotify/recommendations/questions,GET,access_token,,
user/v2/spotify/tokens/refresh,POST,,,
user/v2/spotify/tokens/swap,POST,,,
user/v3/marketing/app_banner,GET,platform/locale,,
user/v3/marketing/profile,PATCH,,,
user/v4/password/registration,POST,,,Unauthorized/RequestSigning
v1/notification,DELETE,,,
v1/notification,POST,,,
v2/coach/leaderboards/followings,GET,page,,
v2/locations,GET,latitude/longitude,,
v2/locations,GET,query,,
v2/profile/notifications,GET,page,,
v2/profile/notifications/mark_as_read,PATCH,ids,,
v2/profile/notifications/mark_as_seen,PATCH,since or ids,,
v2/profile/register_device,POST,,,
v2/profile/remove_device,PATCH,,,
v2/users/search,POST,PAGE,,
v3/coach/users/{user_id}/trainings,GET,workout_slug,,
v3/coach/users/{user_id}/trainings/best,GET,workout_slugs,,
v3/coach/workouts/{workout_slug},GET,,,
v3/community/profile,PATCH,,,
v3/community/training_spots,GET,latitude/longitude/per_page,,
v3/community/training_spots,GET,latitude/logitude/page/with_users,,
v3/community/training_spots,GET,per_page/with_users,,
v3/community/training_spots/{id},GET,with_users,,
v3/profile,PATCH,,,
v3/users/{user_id},GET,,,
v4/profile,GET,,,
v5/athlete/profile,PATCH,,,
v5/calendar/prompts/{id},PATCH,,,
v5/coach/exercises,GET,,,
v5/coach/settings,GET,,,
v5/coach/settings,PATCH,,,
v5/coach/training_plans/groups,GET,locale,,
v5/coach/training_plans/recommendations,GET,locale,,
v5/coach/workouts,GET,type,,
v5/coach/workouts/{workout_slug}/leaderboards/followings,GET,page,,
v5/coach/workouts/{workout_slug}/leaderboards/preview,GET,,,
v6/base_activities/{base_activity_slug}/competition,GET,,,
v6/base_activities/{base_activity_slug}/personal_best,GET,,,
v6/base_activities/{workout_slug}/leaderboard,GET,page,,
v6/base_activities/{workout_slug}/leaderboard/preview,GET,,,
v6/coach/personalized_plans/current/assessment,POST,,,
v6/coach/personalized_plans/current/assessment/flow,GET,,,
v6/coach/sessions/{id},GET,,,
v6/coach/sessions/{id}/adapt,POST,,,
v6/coach/sessions/{id}/complete,POST,,,
v6/coach/sessions/{id}/summary,GET,weight_unit_system/distance_unit_system/skill_paths_enabled,,
v6/movements/{slug}/instructions,GET,,,
v6/performed_activities/{id},DELETE,,,
v6/performed_activities/{id},GET,,,
v6/performed_activities/{id}/feed_entry,PATCH,,,
v6/performed_activities/self_selected/{date},GET,,,
v6/performed_activities/self_selected/{date},GET,,,
v6/planned_activities/{id},GET,,,"{""X-Requires-Exercise-Sync: ""}"
v7/athlete/achievements,GET,skill_paths_enabled,,
v7/athlete/achievements/badges/{slug},GET,,,
v7/athlete/progress,GET,,,
v7/athlete/progress/skill_paths/{slug},GET,,,
v7/base_activities/{slug},GET,,,"{""X-Requires-Exercise-Sync: ""}"
v7/calendar,GET,,,
v7/calendar/days/{date},GET,distance_unit_system/weight_unit_system/skill_paths_enabled,,
v7/coach/personalized_plans,POST,,,
v7/coach/personalized_plans/current/finish,POST,,,
v7/coach/personalized_plans/current/start,POST,,,
v7/coach/trainings/{training_id},DELETE,,,
v7/coach/trainings/{training_id},GET,,,
v7/coach/trainings/{training_id},PATCH,,,
v7/coach/workouts/{workout_slug}/trainings,POST,,,
v7/explore_section,GET,,,
v7/explore_section/activity_collections/{slug},GET,,,
v7/performed_activities,POST,,,
v7/social_groups/{slug},GET,,,
v7/social_groups/{slug}/join,POST,,,
